key,city,country,variant,pattern,instance_seed,n_customers,n_stations,n_evaluated,n_mismatch,mismatch_rate,mean_extra_distance_km,median_extra_distance_km,P90_extra_distance_km,mean_extra_time_min,mean_extra_energy_kwh,median_conditional_detour_m,median_conditional_detour_km,P90_conditional_detour_km,median_conditional_detour_percent,median_conditional_extra_time_min,median_conditional_extra_energy_kwh,n_conditional_negative_detour,n_conditional_time_ok,n_conditional_energy_ok
Casablanca|classic_evrptw|c|80|20|10001,Casablanca,Morocco,classic_evrptw,c,10001,80,20,80,9,0.11250000000000004,0.12983342304115203,0.0,0.0222569716871502,0.3062177204617487,0.023058481304620248,709.3632445939002,0.7093632445939002,2.590051989293026,16.873390913341918,1.7938111067516946,0.16418004290362564,0,9,9
Casablanca|classic_evrptw|c|80|20|10002,Casablanca,Morocco,classic_evrptw,c,10002,80,20,80,10,0.125,0.9975263150913667,0.0,7.095909128619254,1.5949804479522298,0.1472583724054335,7757.753262141443,7.757753262141443,8.733108943830233,170.87473326263137,12.562066877258246,1.1611307020620294,0,10,10
Casablanca|classic_evrptw|c|80|20|10003,Casablanca,Morocco,classic_evrptw,c,10003,80,20,80,7,0.08750000000000002,0.015115072880524855,0.0,0.0,0.07226195636695461,0.008561604046721629,205.770197269238,0.205770197269238,0.2554864315264018,6.757557778890189,0.9561487962872254,0.1007300887010138,0,7,7
Casablanca|classic_evrptw|c|80|20|10004,Casablanca,Morocco,classic_evrptw,c,10004,80,20,80,15,0.1875,1.091848945981402,0.0,7.7448655537572275,1.5416394585192272,0.14900502829365284,8694.819390592464,8.694819390592464,9.20893321123646,201.6875987768019,12.20414532472791,1.0634433239810062,0,15,15
Casablanca|classic_evrptw|c|80|20|10005,Casablanca,Morocco,classic_evrptw,c,10005,80,20,80,2,0.025000000000000022,0.0024624885773069935,0.0,0.0,0.0407474837701796,0.0020105969633192502,98.49954309227974,0.09849954309227973,0.14655270120567235,6.107652170596356,1.6298993508071844,0.08042387853277001,0,2,2
Casablanca|classic_evrptw|c|80|20|10006,Casablanca,Morocco,classic_evrptw,c,10006,80,20,80,8,0.09999999999999998,0.035506625619766294,0.0,0.0038433095450542266,0.021855629930390752,-0.00446176866842714,473.1004327910973,0.4731004327910973,0.47479767862561234,16.454584079211735,-0.14260882197332023,-0.07200602859233299,0,8,8
Casablanca|classic_evrptw|c|80|20|10007,Casablanca,Morocco,classic_evrptw,c,10007,80,20,80,4,0.050000000000000044,0.004229514647950603,0.0,0.0,-0.0215881603936562,0.0065859517992761085,90.01130914843043,0.09001130914843043,0.1346779074126628,1.8697553442618497,-0.5496468187099031,0.148484637649976,0,4,4
Casablanca|classic_evrptw|c|80|20|10008,Casablanca,Morocco,classic_evrptw,c,10008,80,20,80,6,0.07499999999999996,0.009635446766121096,0.0,0.0,0.0718454944816495,0.007048169430919913,110.8484278477813,0.11084842784778129,0.205770197269238,3.8368566870537895,1.029197885710459,0.08598562651224202,0,6,6
Casablanca|classic_evrptw|c|80|20|10009,Casablanca,Morocco,classic_evrptw,c,10009,80,20,80,4,0.050000000000000044,0.0076191923584026594,0.0,0.0,0.025965992285356756,0.0017491518504151315,146.992504342536,0.146992504342536,0.23862574057660513,6.163396239124586,1.03863969141427,0.06996607401660535,0,4,4
Casablanca|classic_evrptw|c|80|20|10010,Casablanca,Morocco,classic_evrptw,c,10010,80,20,80,6,0.07499999999999996,0.009690681382196534,0.0,0.0,0.046694986683345006,0.01450993150804739,134.0555362686598,0.13405553626865982,0.21973066159255245,3.575815647396014,0.5845578756988352,0.17574465119177254,0,6,6
Casablanca|classic_evrptw|r|80|20|10001,Casablanca,Morocco,classic_evrptw,r,10001,80,20,80,10,0.125,0.25976897112520214,0.0,0.1968939847629311,0.40587114451867984,0.0400566297398947,947.834704608822,0.947834704608822,5.816225073467705,23.27692850171114,1.9657671823002036,0.2296851131044953,0,10,10
Casablanca|classic_evrptw|r|80|20|10002,Casablanca,Morocco,classic_evrptw,r,10002,80,20,80,16,0.19999999999999996,0.33266265166581477,0.0,0.36715877273136743,0.5288119459270363,0.046540630427662516,374.99729449296626,0.37499729449296626,5.352341835856268,17.91497241257825,1.2572024306732852,0.09222456535614482,0,16,16
Casablanca|classic_evrptw|r|80|20|10003,Casablanca,Morocco,classic_evrptw,r,10003,80,20,80,8,0.09999999999999998,0.1688667228084959,0.0,0.002795880094332517,0.11950250502570273,0.024371071497125134,261.9799433981557,0.26197994339815567,5.80661428109748,7.223742605861283,-0.06324712446855875,0.11944699866294142,0,8,8
Casablanca|classic_evrptw|r|80|20|10004,Casablanca,Morocco,classic_evrptw,r,10004,80,20,80,8,0.09999999999999998,0.2877732344266686,0.0,0.00014868052329756115,0.42789787956650766,0.031928787239504215,337.49727671694086,0.33749727671694085,7.77009294686703,10.996831608363504,0.5860513162283624,-0.04823766657023877,0,8,8
Casablanca|classic_evrptw|r|80|20|10005,Casablanca,Morocco,classic_evrptw,r,10005,80,20,80,13,0.16249999999999998,0.28185156895253544,0.0,0.27397853219107265,0.2746354580728861,0.036050672965968186,329.22361542957265,0.3292236154295726,5.665206215295202,10.23970219870839,0.023940850959325626,0.15738739707155552,0,13,13
Casablanca|classic_evrptw|r|80|20|10006,Casablanca,Morocco,classic_evrptw,r,10006,80,20,80,7,0.08750000000000002,0.19655601556534788,0.0,0.0,0.17320480156687448,0.03099026592967925,310.28183961595187,0.31028183961595185,6.241680209310698,11.501218615323479,0.5224092700633188,0.21670135665568174,0,7,7
Casablanca|classic_evrptw|r|80|20|10007,Casablanca,Morocco,classic_evrptw,r,10007,80,20,80,8,0.09999999999999998,0.3279417666503544,0.0,0.0018753975047248567,0.4092224733506674,0.04626317211877616,1805.4214773671163,1.8054214773671162,7.498311337419455,41.458046377265035,2.267329981141493,0.29206509787613144,0,8,8
Casablanca|classic_evrptw|r|80|20|10008,Casablanca,Morocco,classic_evrptw,r,10008,80,20,80,14,0.17500000000000004,0.3971318431515099,0.0,0.21240312319962434,0.37161367601984074,0.05663247766317273,341.23811271524335,0.34123811271524335,6.973347047996525,15.446334975627325,0.4155052990078483,0.12305239493405579,0,14,14
Casablanca|classic_evrptw|r|80|20|10009,Casablanca,Morocco,classic_evrptw,r,10009,80,20,80,8,0.09999999999999998,0.10291467824903475,0.0,0.002043085768703478,0.07151945965234884,0.01288128157739905,295.75308185728795,0.29575308185728794,2.3025517118468004,8.425104792982031,0.23652717295202735,0.042099303082050135,0,8,8
Casablanca|classic_evrptw|r|80|20|10010,Casablanca,Morocco,classic_evrptw,r,10010,80,20,80,9,0.11250000000000004,0.21017998399908203,0.0,0.081004825999024,0.28464597455013985,0.02257200216214484,340.03153934683314,0.34003153934683317,6.146596043649684,15.662558693416807,0.8101130495052966,-0.003923216344787553,0,9,9
Casablanca|classic_evrptw|rc|80|20|10001,Casablanca,Morocco,classic_evrptw,rc,10001,80,20,80,9,0.11250000000000004,0.14100873434478634,0.0,0.015446899978643739,0.34434205497885273,0.015829537486696972,464.57531222472744,0.4645753122247274,2.590051989293026,16.873390913341918,2.246914286889583,0.22382013381231017,0,9,9
Casablanca|classic_evrptw|rc|80|20|10002,Casablanca,Morocco,classic_evrptw,rc,10002,80,20,80,11,0.13749999999999996,0.877375895033559,0.0,1.3396145247659965,1.297894331073258,0.11204481373223707,8520.352822446357,8.520352822446357,9.034466643090353,188.4033415494514,12.630027430795524,1.0398206975336122,0,11,11
Casablanca|classic_evrptw|rc|80|20|10003,Casablanca,Morocco,classic_evrptw,rc,10003,80,20,80,8,0.09999999999999998,0.2537649187020148,0.0,0.006878023332177367,0.33241551770319927,0.03406105465118322,359.9623025641624,0.35996230256416245,7.231201625032225,8.752601119361799,1.5205447231873095,0.24340283763847897,0,8,8
Casablanca|classic_evrptw|rc|80|20|10004,Casablanca,Morocco,classic_evrptw,rc,10004,80,20,80,22,0.275,1.0665691806719462,0.0,2.3193758665001596,1.6933608651148002,0.14930318958262273,1889.595008715045,1.889595008715045,10.022799724262827,30.889123891811607,5.131053645460487,0.32693213132664783,0,22,22
Casablanca|classic_evrptw|rc|80|20|10005,Casablanca,Morocco,classic_evrptw,rc,10005,80,20,80,18,0.22499999999999998,0.8792358610178713,0.0,4.327192070808806,1.1333801870342446,0.12506656725662615,3341.44656736666,3.3414465673666602,6.9914456803554,75.50975354705668,6.0667389643291285,0.44944573256478443,0,18,18
Casablanca|classic_evrptw|rc|80|20|10006,Casablanca,Morocco,classic_evrptw,rc,10006,80,20,80,10,0.125,0.16861711008926938,0.0,0.15915708811996457,0.2736220475500043,0.022096355253602082,373.8673702816625,0.3738673702816625,2.2643479837233196,18.611063898299108,0.929158180625429,0.0771874306930165,0,10,10
Casablanca|classic_evrptw|rc|80|20|10007,Casablanca,Morocco,classic_evrptw,rc,10007,80,20,80,7,0.08750000000000002,0.2271393745989344,0.0,0.0,0.36434030692190217,0.024550823763951037,324.23398544313204,0.32423398544313203,8.663740836034423,6.265892155455814,0.6377829779043632,-0.051699202812361116,0,7,7
Casablanca|classic_evrptw|rc|80|20|10008,Casablanca,Morocco,classic_evrptw,rc,10008,80,20,80,13,0.16249999999999998,0.17161496444842114,0.0,0.48788879902463933,0.47683731478133956,0.027289125763751875,778.1713568607906,0.7781713568607906,1.889595008715045,29.10191093601068,2.328719901910816,0.11260036761042458,0,13,13
Casablanca|classic_evrptw|rc|80|20|10009,Casablanca,Morocco,classic_evrptw,rc,10009,80,20,80,14,0.17500000000000004,0.1881342316902979,0.0,0.8027790041627595,0.07057141147210831,0.03165667866836227,918.9886313596244,0.9189886313596244,1.0689997524242907,22.029623403815194,-0.3316633209735301,0.18572796180239995,0,14,14
Casablanca|classic_evrptw|rc|80|20|10010,Casablanca,Morocco,classic_evrptw,rc,10010,80,20,80,8,0.09999999999999998,0.2199318745145794,0.0,0.0038433095450542266,0.34561578579490165,0.025091232528249997,249.83644846069092,0.24983644846069092,7.498311337419455,13.028605362348214,1.6298993508071844,0.08401544113691997,0,8,8
Madrid|classic_evrptw|c|80|20|10001,Madrid,Spain,classic_evrptw,c,10001,80,20,80,17,0.21250000000000002,1.1504091795950908,0.0,5.761426173154562,1.4447674630898197,-0.00482902964408227,5692.061424118585,5.6920614241185845,6.427960606896383,76.63737321165982,7.475083251760984,-0.03453253171619919,0,17,17
Madrid|classic_evrptw|c|80|20|10002,Madrid,Spain,classic_evrptw,c,10002,80,20,80,7,0.08750000000000002,0.35458120044225067,0.0,0.0,0.6918488805755089,0.02533936255839323,4169.257358997355,4.169257358997355,4.169257358997356,236.3672848697742,7.906844349434388,0.2895927149530655,0,7,7
