key,city,country,variant,pattern,instance_seed,n_customers,n_stations,mean_nearest_neighbor_distance,median_nearest_neighbor_distance,mean_pairwise_geometric_distance,median_pairwise_geometric_distance,mean_pairwise_road_distance,median_pairwise_road_distance,radial_dispersion_from_centroid,convex_hull_area_m2,normalized_nnd
Casablanca|classic_evrptw|c|80|20|10001,Casablanca,Morocco,classic_evrptw,c,10001,80,20,145.61750280600583,122.31466906654686,10853.122810797511,9925.20266667094,13048.7855128655,11767.440748108338,8424.038977574182,153220749.36337557,0.007784635184817015
Casablanca|classic_evrptw|c|80|20|10002,Casablanca,Morocco,classic_evrptw,c,10002,80,20,159.83098159285854,124.92447692803802,10817.306186698845,9876.080594334078,12749.78465353358,11946.418511989476,8201.94596265419,135244607.1618964,0.007950734658079071
Casablanca|classic_evrptw|c|80|20|10003,Casablanca,Morocco,classic_evrptw,c,10003,80,20,104.13625786500127,97.477485687624,9488.60004902675,9297.736660473092,11252.521278780174,10958.147250393075,7194.506763258141,127615577.7976203,0.006203889284927267
Casablanca|classic_evrptw|c|80|20|10004,Casablanca,Morocco,classic_evrptw,c,10004,80,20,163.02379572403683,124.92447692803802,10885.62946379044,9834.254579008395,12922.501336698646,11617.89639517064,8331.785311158044,159922325.1397558,0.007950734658079071
Casablanca|classic_evrptw|c|80|20|10005,Casablanca,Morocco,classic_evrptw,c,10005,80,20,122.88732061422525,114.3190033828086,10520.893886125512,9388.70469103098,12357.427362187462,11885.291920533691,8065.423479203438,138507901.74607953,0.007275756397974216
Casablanca|classic_evrptw|c|80|20|10006,Casablanca,Morocco,classic_evrptw,c,10006,80,20,131.2105833935525,108.41203839557922,10266.870560055599,8952.821837896281,12434.914160892302,11577.357736757627,7774.550314110011,131349453.53995411,0.006899811567922391
Casablanca|classic_evrptw|c|80|20|10007,Casablanca,Morocco,classic_evrptw,c,10007,80,20,120.03635068035778,108.5888783422644,9681.264525101255,9460.351910481775,11434.766827332347,10872.77935742739,7385.40498619306,125133369.66631152,0.0069110664278795204
Casablanca|classic_evrptw|c|80|20|10008,Casablanca,Morocco,classic_evrptw,c,10008,80,20,123.52650354439879,106.50541467449821,10471.924651670506,9976.09223090863,12602.149246857192,12363.939630368483,7953.414128236272,132417758.08551079,0.006778465778275045
Casablanca|classic_evrptw|c|80|20|10009,Casablanca,Morocco,classic_evrptw,c,10009,80,20,137.24820029817607,126.1257967929976,10365.02216843082,10602.0211250746,12288.352772552473,12345.449467160692,7947.370413247739,148598303.8299379,0.008027191856225076
Casablanca|classic_evrptw|c|80|20|10010,Casablanca,Morocco,classic_evrptw,c,10010,80,20,124.40779028660772,109.73179580994456,10200.395180972988,8980.302453870652,12011.46294939022,11084.402276919813,7775.854220005043,117620809.25293607,0.006983806644569346
