city,instance_type,customer_pattern,time_window_tightness,node_elevation_provider,compute_matrices,run_energy_feasibility,n_customers,n_stations,n_depots,n_satellites,generation_time_s_mean,generation_time_s_std,generation_time_s_min,generation_time_s_max,generation_time_s_count,road_graph_nodes_mean,road_graph_nodes_std,road_graph_nodes_min,road_graph_nodes_max,road_graph_nodes_count,road_graph_edges_mean,road_graph_edges_std,road_graph_edges_min,road_graph_edges_max,road_graph_edges_count
Casablanca,classic_evrptw,c,medium,srtm,True,True,200,60,1,0,85.81628040000001,15.268198833335472,77.414799,112.858616,5,37439.0,0.0,37439,37439,5,98562.0,0.0,98562,98562,5
Casablanca,classic_evrptw,r,medium,srtm,True,True,200,60,1,0,76.2544054,2.3680744181584177,72.849251,78.812008,5,37439.0,0.0,37439,37439,5,98562.0,0.0,98562,98562,5
Casablanca,classic_evrptw,rc,medium,srtm,True,True,200,60,1,0,116.65020319999999,29.457151500003647,78.854736,143.506456,5,37439.0,0.0,37439,37439,5,98562.0,0.0,98562,98562,5
Casablanca,multi_depot_evrptw,c,medium,srtm,True,True,200,60,3,0,289.12003760000005,37.75441595724278,221.771366,309.663242,5,37439.0,0.0,37439,37439,5,98562.0,0.0,98562,98562,5
Casablanca,multi_depot_evrptw,r,medium,srtm,True,True,200,60,3,0,830.7180204,1450.979151646952,179.229376,3426.299699,5,37439.0,0.0,37439,37439,5,98562.0,0.0,98562,98562,5
Casablanca,multi_depot_evrptw,rc,medium,srtm,True,True,200,60,3,0,187.71369719999998,2.2472521708125552,186.228864,191.513905,5,37439.0,0.0,37439,37439,5,98562.0,0.0,98562,98562,5
Casablanca,two_echelon_evrp,c,medium,srtm,True,True,200,60,1,4,82.14770960000001,1.1161967680719682,81.067171,83.616388,5,37439.0,0.0,37439,37439,5,98562.0,0.0,98562,98562,5
Casablanca,two_echelon_evrp,r,medium,srtm,True,True,200,60,1,4,81.32571659999999,0.4603279120727867,80.566331,81.818238,5,37439.0,0.0,37439,37439,5,98562.0,0.0,98562,98562,5
Casablanca,two_echelon_evrp,rc,medium,srtm,True,True,200,60,1,4,82.1547866,0.739977769775415,81.4282,83.32291,5,37439.0,0.0,37439,37439,5,98562.0,0.0,98562,98562,5
Madrid,classic_evrptw,c,medium,srtm,True,True,200,60,1,0,352.7592556,387.62622891564735,166.370114,1045.121897,5,30914.0,0.0,30914,30914,5,60769.0,0.0,60769,60769,5
Madrid,classic_evrptw,r,medium,srtm,True,True,200,60,1,0,221.6020918,121.10649965575529,167.017151,438.242696,5,30914.0,0.0,30914,30914,5,60769.0,0.0,60769,60769,5
Madrid,classic_evrptw,rc,medium,srtm,True,True,200,60,1,0,375.7952838,32.22424483692591,322.831245,397.706742,5,30914.0,0.0,30914,30914,5,60769.0,0.0,60769,60769,5
Madrid,multi_depot_evrptw,c,medium,srtm,True,True,200,60,3,0,239.16662,6.029813478588539,234.902898,243.430342,2,30914.0,0.0,30914,30914,2,60769.0,0.0,60769,60769,2
Madrid,multi_depot_evrptw,r,medium,srtm,True,True,200,60,3,0,273.371112,70.8466104507155,238.937146,400.026034,5,30914.0,0.0,30914,30914,5,60769.0,0.0,60769,60769,5
Madrid,multi_depot_evrptw,rc,medium,srtm,True,True,200,60,3,0,390.3786958,85.05216074195303,301.166659,520.03955,5,30914.0,0.0,30914,30914,5,60769.0,0.0,60769,60769,5
Madrid,two_echelon_evrp,c,medium,srtm,True,True,200,60,1,4,442.01349360000006,336.87704680283656,194.747268,1019.930212,5,30914.0,0.0,30914,30914,5,60769.0,0.0,60769,60769,5
Madrid,two_echelon_evrp,r,medium,srtm,True,True,200,60,1,4,216.48348900000002,69.60964859366103,168.833608,331.217901,5,30914.0,0.0,30914,30914,5,60769.0,0.0,60769,60769,5
Madrid,two_echelon_evrp,rc,medium,srtm,True,True,200,60,1,4,352.13482080000006,89.0564241379827,194.390972,400.559444,5,30914.0,0.0,30914,30914,5,60769.0,0.0,60769,60769,5
Paris,classic_evrptw,c,medium,srtm,True,True,200,60,1,0,246.10130280000004,99.35486973615708,143.710779,360.122475,5,9236.0,0.0,9236,9236,5,17844.0,0.0,17844,17844,5
Paris,classic_evrptw,r,medium,srtm,True,True,200,60,1,0,492.2538452,328.24164569507354,289.426011,1075.864382,5,9236.0,0.0,9236,9236,5,17844.0,0.0,17844,17844,5
Paris,classic_evrptw,rc,medium,srtm,True,True,200,60,1,0,279.6085506,101.73694279230102,145.29993,373.730039,5,9236.0,0.0,9236,9236,5,17844.0,0.0,17844,17844,5
