key,city,variant,pattern,instance_seed,n_customers,n_stations,n_service,geo_gt_road_violations
Casablanca|classic_evrptw|c|80|20|10001,Casablanca,classic_evrptw,c,10001,80,20,101,0
Casablanca|classic_evrptw|c|80|20|10002,Casablanca,classic_evrptw,c,10002,80,20,101,0
Casablanca|classic_evrptw|c|80|20|10003,Casablanca,classic_evrptw,c,10003,80,20,101,0
Casablanca|classic_evrptw|c|80|20|10004,Casablanca,classic_evrptw,c,10004,80,20,101,0
Casablanca|classic_evrptw|c|80|20|10005,Casablanca,classic_evrptw,c,10005,80,20,101,0
Casablanca|classic_evrptw|c|80|20|10006,Casablanca,classic_evrptw,c,10006,80,20,101,0
Casablanca|classic_evrptw|c|80|20|10007,Casablanca,classic_evrptw,c,10007,80,20,101,0
Casablanca|classic_evrptw|c|80|20|10008,Casablanca,classic_evrptw,c,10008,80,20,101,0
Casablanca|classic_evrptw|c|80|20|10009,Casablanca,classic_evrptw,c,10009,80,20,101,0
Casablanca|classic_evrptw|c|80|20|10010,Casablanca,classic_evrptw,c,10010,80,20,101,0
Casablanca|classic_evrptw|r|80|20|10001,Casablanca,classic_evrptw,r,10001,80,20,101,0
Casablanca|classic_evrptw|r|80|20|10002,Casablanca,classic_evrptw,r,10002,80,20,101,0
Casablanca|classic_evrptw|r|80|20|10003,Casablanca,classic_evrptw,r,10003,80,20,101,0
Casablanca|classic_evrptw|r|80|20|10004,Casablanca,classic_evrptw,r,10004,80,20,101,0
Casablanca|classic_evrptw|r|80|20|10005,Casablanca,classic_evrptw,r,10005,80,20,101,0
Casablanca|classic_evrptw|r|80|20|10006,Casablanca,classic_evrptw,r,10006,80,20,101,0
Casablanca|classic_evrptw|r|80|20|10007,Casablanca,classic_evrptw,r,10007,80,20,101,0
Casablanca|classic_evrptw|r|80|20|10008,Casablanca,classic_evrptw,r,10008,80,20,101,0
Casablanca|classic_evrptw|r|80|20|10009,Casablanca,classic_evrptw,r,10009,80,20,101,0
Casablanca|classic_evrptw|r|80|20|10010,Casablanca,classic_evrptw,r,10010,80,20,101,0
Casablanca|classic_evrptw|rc|80|20|10001,Casablanca,classic_evrptw,rc,10001,80,20,101,0
Casablanca|classic_evrptw|rc|80|20|10002,Casablanca,classic_evrptw,rc,10002,80,20,101,0
Casablanca|classic_evrptw|rc|80|20|10003,Casablanca,classic_evrptw,rc,10003,80,20,101,0
Casablanca|classic_evrptw|rc|80|20|10004,Casablanca,classic_evrptw,rc,10004,80,20,101,0
Casablanca|classic_evrptw|rc|80|20|10005,Casablanca,classic_evrptw,rc,10005,80,20,101,0
Casablanca|classic_evrptw|rc|80|20|10006,Casablanca,classic_evrptw,rc,10006,80,20,101,0
