key,city,country,variant,pattern,instance_seed,n_customers,n_stations,n_observed,n_proxy,n_synthetic,fraction_observed,fraction_proxy,fraction_synthetic
Casablanca|classic_evrptw|c|80|20|10001,Casablanca,Morocco,classic_evrptw,c,10001,80,20,8,12,0,0.4,0.6,0.0
Casablanca|classic_evrptw|c|80|20|10002,Casablanca,Morocco,classic_evrptw,c,10002,80,20,9,11,0,0.45,0.55,0.0
Casablanca|classic_evrptw|c|80|20|10003,Casablanca,Morocco,classic_evrptw,c,10003,80,20,9,11,0,0.45,0.55,0.0
Casablanca|classic_evrptw|c|80|20|10004,Casablanca,Morocco,classic_evrptw,c,10004,80,20,9,11,0,0.45,0.55,0.0
Casablanca|classic_evrptw|c|80|20|10005,Casablanca,Morocco,classic_evrptw,c,10005,80,20,8,12,0,0.4,0.6,0.0
Casablanca|classic_evrptw|c|80|20|10006,Casablanca,Morocco,classic_evrptw,c,10006,80,20,9,11,0,0.45,0.55,0.0
Casablanca|classic_evrptw|c|80|20|10007,Casablanca,Morocco,classic_evrptw,c,10007,80,20,9,11,0,0.45,0.55,0.0
Casablanca|classic_evrptw|c|80|20|10008,Casablanca,Morocco,classic_evrptw,c,10008,80,20,9,11,0,0.45,0.55,0.0
Casablanca|classic_evrptw|c|80|20|10009,Casablanca,Morocco,classic_evrptw,c,10009,80,20,9,11,0,0.45,0.55,0.0
Casablanca|classic_evrptw|c|80|20|10010,Casablanca,Morocco,classic_evrptw,c,10010,80,20,8,12,0,0.4,0.6,0.0
Casablanca|classic_evrptw|r|80|20|10001,Casablanca,Morocco,classic_evrptw,r,10001,80,20,9,11,0,0.45,0.55,0.0
Casablanca|classic_evrptw|r|80|20|10002,Casablanca,Morocco,classic_evrptw,r,10002,80,20,9,11,0,0.45,0.55,0.0
Casablanca|classic_evrptw|r|80|20|10003,Casablanca,Morocco,classic_evrptw,r,10003,80,20,9,11,0,0.45,0.55,0.0
Casablanca|classic_evrptw|r|80|20|10004,Casablanca,Morocco,classic_evrptw,r,10004,80,20,9,11,0,0.45,0.55,0.0
Casablanca|classic_evrptw|r|80|20|10005,Casablanca,Morocco,classic_evrptw,r,10005,80,20,9,11,0,0.45,0.55,0.0
Casablanca|classic_evrptw|r|80|20|10006,Casablanca,Morocco,classic_evrptw,r,10006,80,20,8,12,0,0.4,0.6,0.0
Casablanca|classic_evrptw|r|80|20|10007,Casablanca,Morocco,classic_evrptw,r,10007,80,20,9,11,0,0.45,0.55,0.0
Casablanca|classic_evrptw|r|80|20|10008,Casablanca,Morocco,classic_evrptw,r,10008,80,20,8,12,0,0.4,0.6,0.0
Casablanca|classic_evrptw|r|80|20|10009,Casablanca,Morocco,classic_evrptw,r,10009,80,20,9,11,0,0.45,0.55,0.0
Casablanca|classic_evrptw|r|80|20|10010,Casablanca,Morocco,classic_evrptw,r,10010,80,20,9,11,0,0.45,0.55,0.0
Casablanca|classic_evrptw|rc|80|20|10001,Casablanca,Morocco,classic_evrptw,rc,10001,80,20,7,13,0,0.35,0.65,0.0
Casablanca|classic_evrptw|rc|80|20|10002,Casablanca,Morocco,classic_evrptw,rc,10002,80,20,9,11,0,0.45,0.55,0.0
Casablanca|classic_evrptw|rc|80|20|10003,Casablanca,Morocco,classic_evrptw,rc,10003,80,20,9,11,0,0.45,0.55,0.0
Casablanca|classic_evrptw|rc|80|20|10004,Casablanca,Morocco,classic_evrptw,rc,10004,80,20,9,11,0,0.45,0.55,0.0
