key,city,country,variant,pattern,instance_seed,n_customers,n_stations,v_ref_mps,v_ref_kmh,n_time_pairs,n_time_pairs_excluded,median_time_ratio,mean_time_ratio,P90_time_ratio,P95_time_ratio,median_extra_time_min,P90_extra_time_min,median_time_inflation_percent
Casablanca|classic_evrptw|c|80|20|10001,Casablanca,Morocco,classic_evrptw,c,10001,80,20,11.313137824114964,40.72729616681387,10100,0,1.191786304255174,1.5090874747789156,2.2798973066397386,3.162872596731486,2.2506483596732485,5.094396628107201,19.178630425517397
Casablanca|classic_evrptw|c|80|20|10002,Casablanca,Morocco,classic_evrptw,c,10002,80,20,11.465907835027393,41.27726820609861,10100,0,1.1626480030814705,1.417563793849627,1.9453404373572887,2.7319216944267324,1.9684669366094303,4.818203267611508,16.264800308147052
Casablanca|classic_evrptw|c|80|20|10003,Casablanca,Morocco,classic_evrptw,c,10003,80,20,11.077391585239607,39.87860970686258,10100,0,1.1928441344778222,1.3955521633680772,1.8607298612968501,2.6861527268246252,2.0015954824856768,4.550791915200519,19.28441344778222
Casablanca|classic_evrptw|c|80|20|10004,Casablanca,Morocco,classic_evrptw,c,10004,80,20,11.507536819379538,41.42713254976634,10100,0,1.1737621830411924,1.4637347502643847,2.138432682578632,3.151209008577011,2.247944441560993,4.904916789764707,17.37621830411924
Casablanca|classic_evrptw|c|80|20|10005,Casablanca,Morocco,classic_evrptw,c,10005,80,20,11.421807876241377,41.11850835446896,10100,0,1.1860784761846144,1.3942563807258412,1.9200036866219408,2.6442459095426547,1.9325858029119625,5.036940866650356,18.607847618461438
Casablanca|classic_evrptw|c|80|20|10006,Casablanca,Morocco,classic_evrptw,c,10006,80,20,10.856834959554682,39.084605854396855,10100,0,1.221063838401254,1.445771636252639,2.1080969324122876,2.7607669703435223,2.2642239598103773,5.6469339504276554,22.1063838401254
Casablanca|classic_evrptw|c|80|20|10007,Casablanca,Morocco,classic_evrptw,c,10007,80,20,11.093058474705197,39.93501050893871,10100,0,1.1997074511154113,1.428878938911021,2.087008799555202,2.7107520644319063,1.9461253603717106,5.161646732543604,19.970745111541135
Casablanca|classic_evrptw|c|80|20|10008,Casablanca,Morocco,classic_evrptw,c,10008,80,20,11.007024602063355,39.62528856742808,10100,0,1.225788043556306,1.4651664244726368,1.9364398492309334,2.78636471653516,2.4129944785868376,5.3486481028592685,22.5788043556306
Casablanca|classic_evrptw|c|80|20|10009,Casablanca,Morocco,classic_evrptw,c,10009,80,20,10.696560936492416,38.5076193713727,10100,0,1.1953176562884114,1.3757066200260677,1.9365030196356716,2.495379820402657,2.021370455416142,5.459242247041337,19.531765628841136
Casablanca|classic_evrptw|c|80|20|10010,Casablanca,Morocco,classic_evrptw,c,10010,80,20,11.254769558442923,40.51717041039453,10100,0,1.1954860772609868,1.3716526722675972,1.933453671701461,2.520353893937064,1.9401967201183292,4.612202897890471,19.548607726098677
Casablanca|classic_evrptw|r|80|20|10001,Casablanca,Morocco,classic_evrptw,r,10001,80,20,11.0612947936907,39.82066125728652,10100,0,1.181799240732603,1.251390607040799,1.608130543500195,1.8261976978379326,1.8847693403437356,4.402483553605751,18.179924073260302
Casablanca|classic_evrptw|r|80|20|10002,Casablanca,Morocco,classic_evrptw,r,10002,80,20,11.027255189869344,39.698118683529636,10100,0,1.185437893611676,1.2528167844105855,1.602908221841681,1.821460707502808,1.9255975006301953,4.321926075383202,18.543789361167605
Casablanca|classic_evrptw|r|80|20|10003,Casablanca,Morocco,classic_evrptw,r,10003,80,20,10.855929843158616,39.08134743537102,10100,0,1.1873257353417994,1.2602078490607282,1.6114392494162124,1.8177301808420678,1.9546914642116064,4.371794747844435,18.73257353417994
Casablanca|classic_evrptw|r|80|20|10004,Casablanca,Morocco,classic_evrptw,r,10004,80,20,11.050301108178065,39.781083989441036,10100,0,1.17812806788473,1.2476023222979877,1.6111080783588008,1.7965453695991687,1.8975925000948477,4.417977711383415,17.81280678847299
Casablanca|classic_evrptw|r|80|20|10005,Casablanca,Morocco,classic_evrptw,r,10005,80,20,10.97936655051311,39.5257195818472,10100,0,1.1782540519546782,1.2588541772781439,1.6298740894060895,1.8395049645469446,1.9541256629484736,4.619731547028789,17.825405195467823
Casablanca|classic_evrptw|r|80|20|10006,Casablanca,Morocco,classic_evrptw,r,10006,80,20,11.103145498391614,39.97132379420981,10100,0,1.1853090741651386,1.2601811078619427,1.6176751406564638,1.8179993417520697,1.9300932064186327,4.472487875354148,18.530907416513863
Casablanca|classic_evrptw|r|80|20|10007,Casablanca,Morocco,classic_evrptw,r,10007,80,20,11.011036281796056,39.639730614465805,10100,0,1.1832314781068674,1.2641573091979506,1.615530673715093,1.8155362916159588,1.8518861216272315,4.504960844398897,18.323147810686734
Casablanca|classic_evrptw|r|80|20|10008,Casablanca,Morocco,classic_evrptw,r,10008,80,20,11.015076918599238,39.65427690695726,10100,0,1.1907179399745946,1.2702623571501248,1.643571345204882,1.8557315250053976,2.006141271635438,4.740935353517191,19.071793997459462
Casablanca|classic_evrptw|r|80|20|10009,Casablanca,Morocco,classic_evrptw,r,10009,80,20,11.054055248853327,39.79459889587198,10100,0,1.1860109964758059,1.2548204431106575,1.612172179092531,1.8271788461308291,1.940242861363371,4.3801529501765195,18.60109964758059
Casablanca|classic_evrptw|r|80|20|10010,Casablanca,Morocco,classic_evrptw,r,10010,80,20,10.952589350842672,39.42932166303362,10100,0,1.1830839340919042,1.2476768305938897,1.609030000349077,1.7994717931564497,1.8811333231239757,4.491643227883909,18.308393409190415
Casablanca|classic_evrptw|rc|80|20|10001,Casablanca,Morocco,classic_evrptw,rc,10001,80,20,11.315474401611455,40.73570784580124,10100,0,1.1896040452712606,1.3649363118444873,1.7431500453158846,2.0993317181893723,2.2501354248625907,4.941986562438128,18.960404527126062
Casablanca|classic_evrptw|rc|80|20|10002,Casablanca,Morocco,classic_evrptw,rc,10002,80,20,11.455462136889441,41.23966369280199,10100,0,1.1746998083587508,1.3348743421226268,1.6687026254810962,2.053158219748004,2.04355615716757,4.906049777275192,17.469980835875077
Casablanca|classic_evrptw|rc|80|20|10003,Casablanca,Morocco,classic_evrptw,rc,10003,80,20,11.02716836798065,39.69780612473034,10100,0,1.1897276564637347,1.2860966341725013,1.616067549251587,1.9286589748762728,2.0451737078723036,4.794141262636326,18.972765646373468
Casablanca|classic_evrptw|rc|80|20|10004,Casablanca,Morocco,classic_evrptw,rc,10004,80,20,11.41947585897704,41.11011309231735,10100,0,1.1870803528993363,1.4029930300648765,1.7295472077464416,2.177799552540898,2.3045192336967943,5.1116384731763915,18.708035289933633
Casablanca|classic_evrptw|rc|80|20|10005,Casablanca,Morocco,classic_evrptw,rc,10005,80,20,11.297966859515594,40.67268069425614,10100,0,1.1826852671797907,1.284002865817596,1.6416951565118223,1.940932836210543,2.0471403985216554,5.059373339476441,18.26852671797907
Casablanca|classic_evrptw|rc|80|20|10006,Casablanca,Morocco,classic_evrptw,rc,10006,80,20,11.1843483418197,40.26365403055092,10100,0,1.2049238006819465,1.318461500483967,1.6321473267498732,2.002443719480077,2.176177555781903,5.3288081326387475,20.49238006819465
Casablanca|classic_evrptw|rc|80|20|10007,Casablanca,Morocco,classic_evrptw,rc,10007,80,20,11.093480178786495,39.936528643631384,10100,0,1.1883004701481605,1.3053333454463327,1.6688287562867126,1.974180885191348,2.033579889578746,4.817270836159859,18.830047014816053
Casablanca|classic_evrptw|rc|80|20|10008,Casablanca,Morocco,classic_evrptw,rc,10008,80,20,11.198817898116037,40.31574443321773,10100,0,1.2043745536935972,1.3375327697274182,1.6550056633030301,2.0031441462990704,2.323452242614505,5.243255813680615,20.437455369359725
Casablanca|classic_evrptw|rc|80|20|10009,Casablanca,Morocco,classic_evrptw,rc,10009,80,20,10.999508739591468,39.598231462529284,10100,0,1.1921320831875553,1.3142972763965879,1.6639980232676355,2.020066574620499,2.105343861774896,5.4433708649649,19.213208318755527
Casablanca|classic_evrptw|rc|80|20|10010,Casablanca,Morocco,classic_evrptw,rc,10010,80,20,11.23189097234223,40.43480750043203,10100,0,1.1933359738164204,1.291379215268889,1.6376938523657043,1.9566085199891337,2.0631208701883876,4.715262404155898,19.333597381642043
Madrid|classic_evrptw|c|80|20|10001,Madrid,Spain,classic_evrptw,c,10001,80,20,11.871239002769848,42.73646040997145,10100,0,1.2678957869330174,1.7440479235276478,2.3151530295928033,3.5850500782563555,4.241727375736415,8.139107541729038,26.789578693301742
Madrid|classic_evrptw|c|80|20|10002,Madrid,Spain,classic_evrptw,c,10002,80,20,12.205979372022616,43.94152573928142,10100,0,1.2391978688190388,1.675815140960433,2.3418695966844125,3.201699999849482,3.118168061464446,7.803268904240043,23.91978688190388
Madrid|classic_evrptw|c|80|20|10003,Madrid,Spain,classic_evrptw,c,10003,80,20,12.645473647639474,45.523705131502105,10100,0,1.2224971436536918,1.944020616818884,2.523232152191347,4.47240972395697,3.0770975413726736,7.405980738872431,22.24971436536918
Madrid|classic_evrptw|c|80|20|10004,Madrid,Spain,classic_evrptw,c,10004,80,20,12.215714700946808,43.97657292340851,10100,0,1.2527660517983525,1.947810617932863,2.3466851753053404,4.166884056979082,3.7991005877227195,8.875208677506206,25.276605179835254
Madrid|classic_evrptw|c|80|20|10005,Madrid,Spain,classic_evrptw,c,10005,80,20,12.526601578255901,45.09576568172125,10100,0,1.2590904394296825,1.9684567566808764,2.5067128103114986,3.955194651142481,4.024030046590864,9.69012486233246,25.909043942968246
Madrid|classic_evrptw|c|80|20|10006,Madrid,Spain,classic_evrptw,c,10006,80,20,12.288898416620544,44.24003429983396,10100,0,1.2579512339564265,1.975128000440903,2.354577038227359,3.926345961403363,3.939404387332373,8.964211933062565,25.795123395642648
Madrid|classic_evrptw|c|80|20|10007,Madrid,Spain,classic_evrptw,c,10007,80,20,11.096347269717684,39.946850170983666,10100,0,1.236608316204845,1.685096075393909,2.293547750055743,3.9425634211956835,2.960836683850633,6.935226790379999,23.66083162048449
Madrid|classic_evrptw|c|80|20|10008,Madrid,Spain,classic_evrptw,c,10008,80,20,12.233920268000816,44.04211296480294,10100,0,1.2374029992973592,1.889992549320885,2.2553827198223106,3.8113936461481024,3.7763387231432546,8.843793348403663,23.74029992973592
Madrid|classic_evrptw|c|80|20|10009,Madrid,Spain,classic_evrptw,c,10009,80,20,11.121279884752663,40.03660758510959,10100,0,1.2392392021127379,1.6001216168716714,2.293821278495704,3.306783975733315,3.673262269550391,9.224810357084415,23.923920211273785
Madrid|classic_evrptw|c|80|20|10010,Madrid,Spain,classic_evrptw,c,10010,80,20,10.346285332345643,37.246627196444315,10100,0,1.2342607145135869,1.5529107566114926,2.041917455323362,3.081056986726995,4.143573344590018,10.998046415977228,23.426071451358688
Madrid|classic_evrptw|r|80|20|10001,Madrid,Spain,classic_evrptw,r,10001,80,20,11.199280961870645,40.31741146273433,10100,0,1.250686020764643,1.361961957761901,1.8245773611406768,2.1433556910002993,3.5292201047652774,8.287724753024245,25.06860207646431
Madrid|classic_evrptw|r|80|20|10002,Madrid,Spain,classic_evrptw,r,10002,80,20,11.177009216221222,40.2372331783964,10100,0,1.2600986819515718,1.3740637786200685,1.8384038193603027,2.1616183111346174,3.5820820718388564,8.239606695019742,26.009868195157182
Madrid|classic_evrptw|r|80|20|10003,Madrid,Spain,classic_evrptw,r,10003,80,20,10.830637218784048,38.99029398762257,10100,0,1.257834922235003,1.3575591100248108,1.8247541306775474,2.0967245330651343,3.548314689604999,8.173825809685367,25.783492223500293
Madrid|classic_evrptw|r|80|20|10004,Madrid,Spain,classic_evrptw,r,10004,80,20,10.984326035798194,39.5435737288735,10100,0,1.2712764556904714,1.3783190911853993,1.8603467752820053,2.1562342758833806,3.883339763611214,8.616835509068292,27.127645569047143
Madrid|classic_evrptw|r|80|20|10005,Madrid,Spain,classic_evrptw,r,10005,80,20,10.985771409081057,39.548777072691806,10100,0,1.2641005808407368,1.3748237589986712,1.8422402780278928,2.160592577146916,3.696582358428386,8.720062396332334,26.410058084073682
Madrid|classic_evrptw|r|80|20|10006,Madrid,Spain,classic_evrptw,r,10006,80,20,10.993037603906394,39.574935374063024,10100,0,1.2686647813028487,1.3696734285887888,1.8400740079966076,2.1183321881252604,3.8154640175443677,8.345215001237467,26.866478130284865
Madrid|classic_evrptw|r|80|20|10007,Madrid,Spain,classic_evrptw,r,10007,80,20,11.115532971603049,40.01591869777098,10100,0,1.2552256253599143,1.3621779088813928,1.8005816882895118,2.1217825934963805,3.4702373267392574,8.281806178186134,25.522562535991433
Madrid|classic_evrptw|r|80|20|10008,Madrid,Spain,classic_evrptw,r,10008,80,20,11.175565697796351,40.23203651206686,10100,0,1.2569752830880183,1.3648091057814982,1.813236834905107,2.1098416195444214,3.491322669597154,8.150335079718415,25.697528308801832
Madrid|classic_evrptw|r|80|20|10009,Madrid,Spain,classic_evrptw,r,10009,80,20,10.947390098636937,39.41060435509298,10100,0,1.2693313657975296,1.3782748934046418,1.8596139963360687,2.1848491907667635,3.7971269641933447,8.828364902704958,26.933136579752958
Madrid|classic_evrptw|r|80|20|10010,Madrid,Spain,classic_evrptw,r,10010,80,20,11.059400395588884,39.813841424119985,10100,0,1.2523542018294225,1.363833792983021,1.8307487040484876,2.1661498515425097,3.527807758497531,8.648283585269024,25.23542018294225
Madrid|classic_evrptw|rc|80|20|10001,Madrid,Spain,classic_evrptw,rc,10001,80,20,11.542199666075327,41.551918797871174,10100,0,1.2574445239788923,1.4973142221513611,1.9374315215635352,2.362973708401445,3.9318370695720546,8.699799622867236,25.744452397889226
Madrid|classic_evrptw|rc|80|20|10002,Madrid,Spain,classic_evrptw,rc,10002,80,20,11.606105231625314,41.781978833851134,10100,0,1.2422997234399966,1.485577966131334,2.005010591314254,2.5340167779824734,3.575202425709246,9.328313429307986,24.229972343999663
Madrid|classic_evrptw|rc|80|20|10003,Madrid,Spain,classic_evrptw,rc,10003,80,20,12.066736975500216,43.44025311180078,10100,0,1.2360677337941794,1.5643092156020335,1.9086317063954306,2.4125201651232753,3.3367624675611656,8.616742522253322,23.606773379417945
Madrid|classic_evrptw|rc|80|20|10004,Madrid,Spain,classic_evrptw,rc,10004,80,20,11.975912105238114,43.113283578857214,10100,0,1.2607303692448064,1.6802607110379597,1.9254315360015768,2.4121754534615683,3.9180075069463514,8.890717821374267,26.07303692448064
Madrid|classic_evrptw|rc|80|20|10005,Madrid,Spain,classic_evrptw,rc,10005,80,20,12.023805286240606,43.28569903046618,10100,0,1.258803821531696,1.633975861809201,2.021071679284249,2.5419194765683435,4.086715443268853,9.777345228232859,25.88038215316959
Madrid|classic_evrptw|rc|80|20|10006,Madrid,Spain,classic_evrptw,rc,10006,80,20,11.92658257475109,42.93569726910392,10100,0,1.2615309059025974,1.630624255054471,1.9335747561537602,2.4399946254936444,3.9964196377272923,9.080511969384013,26.153090590259744
Madrid|classic_evrptw|rc|80|20|10007,Madrid,Spain,classic_evrptw,rc,10007,80,20,11.236273422374607,40.450584320548586,10100,0,1.2477005004935282,1.5322815237716036,1.7789295110626577,2.2212891169923332,3.4055652465095907,7.614791893366077,24.77005004935282
Madrid|classic_evrptw|rc|80|20|10008,Madrid,Spain,classic_evrptw,rc,10008,80,20,11.832026086108701,42.59529390999133,10100,0,1.2624831657165685,1.5804246961005377,2.0025268067322473,2.4913003168569166,3.971144052756419,9.804580553295049,26.24831657165685
Madrid|classic_evrptw|rc|80|20|10009,Madrid,Spain,classic_evrptw,rc,10009,80,20,11.060442810055061,39.81759411619822,10100,0,1.2570722284298497,1.4731876096286354,1.9615085315237615,2.492291384630362,3.879929720183436,9.764910960067356,25.70722284298497
Madrid|classic_evrptw|rc|80|20|10010,Madrid,Spain,classic_evrptw,rc,10010,80,20,10.678580089650008,38.44288832274003,10100,0,1.256057825473222,1.422658621813048,1.9440340105303533,2.412527318571185,4.295276846147531,11.145219371411754,25.6057825473222
Paris|classic_evrptw|c|80|20|10001,Paris,France,classic_evrptw,c,10001,80,20,7.303946870906804,26.294208735264498,10100,0,1.2267678473155867,1.5232619510303287,1.7512146998487972,2.7986043152103584,2.8534909890908806,6.484688960262824,22.676784731558676
